artist,song,duration_ms,year,popularity,loudness,speechiness,acousticness,instrumentalness,tempo,genre
Mystikal,Shake Ya Ass,256973,2000,57,-5.658,0.32,0.0626,0,98.054,hip hop; pop
Fuel,Hemorrhage (In My Hands),236866,2000,49,-3.894,0.0404,0.000127,0.000341,152.034,rock; pop; metal
Donell Jones,Where I Wanna Be,253626,1999,57,-9.131,0.0298,0.52,0,102.053,pop; R&B
Savage Garden,Crash and Burn,281466,1999,54,-8.458,0.028,0.189,0.0000016,102.03,pop
Westlife,My Love,231760,2000,68,-5.975,0.0255,0.098,0,144.142,pop
All Saints,Pure Shores,268746,2000,62,-9.197,0.0242,0.0498,0.00042,100.618,pop
Destiny's Child,Independent Women; Pt. 1,221133,2001,65,-3.782,0.206,0.362,0.00000369,97.954,pop; R&B
*NSYNC,It's Gonna Be Me,191040,2000,60,-4.666,0.0801,0.0459,0.00000224,165.09,pop
Erykah Badu,Bag Lady,348893,2000,54,-8.964,0.0841,0.365,0,151.181,hip hop; R&B
Marc Anthony,You Sang To Me,347106,1999,56,-5.42,0.0296,0.0103,0.00000266,165.98,pop; latin
Matchbox Twenty,Bent,256133,2000,54,-6.814,0.0386,0.0404,0.00000385,95.468,pop; rock
Gabrielle,Rise,219093,2001,60,-9.487,0.026,0.315,0.00000883,144.673,pop; R&B
Backstreet Boys,Shape of My Heart,230093,2000,70,-4.353,0.0296,0.252,0,96.102,pop
Creed,With Arms Wide Open,274800,1999,64,-8.412,0.0302,0.00425,0.00089,138.852,pop; rock; metal
The Corrs,Breathless,207506,2000,68,-7.754,0.0597,0.0541,0.000068,126.988,pop; Folk/Acoustic
Joe,I Wanna Know,296693,2000,65,-5.959,0.0368,0.26,0.0000109,136.086,pop; R&B
Wheatus,Teenage Dirtbag,241666,1999,71,-3.904,0.0495,0.346,0.000233,94.661,set()
Christina Aguilera,Come on over Baby (All I Want Is You) - Radio Version,203333,1999,64,-3.205,0.106,0.226,0.0000125,118.903,pop
Creed,Higher,316733,1999,69,-6.254,0.0364,0.0000515,0.00014,155.827,pop; rock; metal
Britney Spears,Lucky,206226,2000,65,-5.707,0.0317,0.262,0.000154,95.026,pop
Nelly,Country Grammar (Hot Shit),287000,2000,68,-6.822,0.108,0.00689,0,162.831,hip hop; pop; R&B
Shaggy,It Wasn't Me,227600,2000,76,-4.596,0.0713,0.0561,0,94.759,hip hop; pop
Destiny's Child,Survivor,254026,2001,70,-2.027,0.41,0.0559,0,161.109,pop; R&B
Eminem,Stan,404106,2000,83,-4.325,0.238,0.0371,0.00000234,80.063,hip hop
Kylie Minogue,Can't Get You out of My Head,230640,2001,73,-7.516,0.0339,0.0263,0.683,126.007,pop; Dance/Electronic
Christina Aguilera,Lady Marmalade - From "Moulin Rouge" Soundtrack,264893,2001,68,-3.769,0.0534,0.0144,0.0000149,109.919,pop
Nelly Furtado,I'm Like A Bird,243160,2000,1,-5.085,0.036,0.138,0.00000538,89.661,hip hop; pop; latin
Shakira,Whenever; Wherever,196160,2001,74,-4.862,0.0407,0.237,0.0000114,107.657,pop; latin
Jimmy Eat World,The Middle,165853,2001,78,-5.428,0.0526,0.0371,0,162.152,rock; pop
Train,Drops of Jupiter (Tell Me),259933,2001,77,-5.862,0.0276,0.153,0,79.064,pop
Geri Halliwell,It's Raining Men,254640,2001,62,-6.03,0.0447,0.063,0.00796,136.482,pop
Blu Cantrell,Hit 'Em Up Style (Oops!),250706,2001,71,-4.983,0.0586,0.201,0,89.976,pop; R&B
Britney Spears,I'm a Slave 4 U,203600,2001,69,-3.579,0.106,0.415,0.000134,110.027,pop
Kylie Minogue,In Your Eyes,197826,2001,62,-6.342,0.0672,0.133,0.0000472,123.971,pop; Dance/Electronic
Missy Elliott,One Minute Man (feat. Ludacris),252986,2001,57,-8.419,0.329,0.0266,0.00000297,93.839,hip hop; pop; R&B
Mary J. Blige,Family Affair,265866,2001,76,-3.75,0.0449,0.132,0.0000412,92.887,pop; R&B
Faithless,We Come 1 - Radio Edit,222435,2015,53,-10.587,0.0441,0.00188,0.799,135.977,pop; Dance/Electronic
Limp Bizkit,Rollin' (Air Raid Vehicle),213760,2000,73,-3.358,0.171,0.00591,0,96.306,metal
Lasgo,Something,220973,2001,65,-6.644,0.0439,0.0271,0.0000893,140.01,pop
iio,Rapture (feat.Nadia Ali),253586,2006,54,-8.403,0.0377,0.0722,0.0185,123.943,Dance/Electronic
Emma Bunton,What Took You So Long?,241000,2001,54,-5.4,0.0307,0.123,0,118.011,pop
112,It's Over Now,264933,2001,57,-4.541,0.0409,0.0106,0.00000701,97.988,hip hop; pop; R&B
Blue,All Rise,223546,2001,63,-2.734,0.0324,0.121,0,97.996,pop
Jessica Simpson,Irresistible,194026,2001,43,-2.771,0.0556,0.0285,0.0000884,93.013,pop; R&B
Crazy Town,Butterfly,216733,1999,71,-4.17,0.081,0.00132,0.000142,103.502,rock; metal
Michael Jackson,You Rock My World,337733,2001,64,-3.132,0.185,0.038,0.000227,95,pop; R&B
Eve,Let Me Blow Ya Mind,230133,2001,73,-4.243,0.107,0.242,0,90.032,hip hop; pop; R&B
Jennifer Lopez,Ain't It Funny,246160,2001,0,-4.525,0.0481,0.104,0.000121,99.825,hip hop; pop; R&B
Brandy,Another Day in Paradise - R&B-Version,271626,2002,50,-5.176,0.0327,0.00666,0.0000368,102.043,hip hop; pop; R&B
Nickelback,How You Remind Me,223840,2001,78,-5.042,0.033,0.00135,0,172.094,rock; metal
Daft Punk,One More Time,320357,2001,76,-8.618,0.133,0.0194,0,122.746,hip hop; Dance/Electronic
Outkast,Ms. Jackson,270506,2000,82,-5.946,0.269,0.143,0,94.948,hip hop; pop
Fragma,Everytime You Need Me - Radio Version,213346,2001,50,-5.459,0.0318,0.15,0.0676,137.029,pop; Dance/Electronic
Mariah Carey,Loverboy,229173,2001,42,-4.125,0.124,0.183,0,103.141,pop; R&B
Dido,Thank You,218360,1999,73,-9.942,0.0427,0.3,0.000238,79.984,pop
Joe,Stutter (feat. Mystikal) - Double Take Remix,213026,2000,57,-6.516,0.117,0.0513,0,89.989,pop; R&B
P.O.D.,Youth of the Nation,256240,2001,69,-7.533,0.0621,0.00834,0.0106,97.867,rock; metal
Jennifer Lopez,Play,211493,2001,57,-4.229,0.162,0.0303,0.00247,104.719,hip hop; pop; R&B
Missy Elliott,Get Ur Freak On,211120,2001,68,-9.369,0.247,0.533,0.108,177.87,hip hop; pop; R&B
Ricky Martin,Nobody Wants to Be Lonely (with Christina Aguilera),252706,2008,52,-5.02,0.0612,0.00579,0.0083,100.851,pop; latin
Christina Milian,AM To PM,231213,2001,60,-3.036,0.12,0.153,0.0000226,105.005,hip hop; pop; R&B
Roger Sanchez,Another Chance,452906,2000,50,-10.029,0.0312,0.000211,0.146,127.993,Dance/Electronic
Gorillaz,Clint Eastwood,340920,2001,74,-8.627,0.171,0.0253,0,167.953,hip hop
2Pac,Until The End Of Time,266506,2001,57,-6.665,0.203,0.0267,0,96.976,hip hop
Tamia,Stranger in My House,285386,2000,48,-4.905,0.0297,0.103,0,119.94,pop; R&B
Mary J. Blige,No More Drama,326240,2001,61,-6.818,0.124,0.534,0.0000712,97.914,pop; R&B
Jennifer Lopez,Love Don't Cost a Thing,221226,2001,67,-5.115,0.0707,0.00305,0.00000354,97.577,hip hop; pop; R&B
Jamiroquai,Little L,295400,2001,65,-5.373,0.129,0.168,0.0116,121.906,pop
Case,Missing You,284666,2001,55,-6.417,0.0553,0.285,0,86.31,hip hop; pop; R&B
112,Peaches & Cream,193093,2001,63,-6.255,0.334,0.00277,0,203.862,hip hop; pop; R&B
Five,Let's Dance - Radio Edit,218626,2001,47,-7.853,0.0867,0.00876,0.000247,118.007,pop
Rui Da Silva,Touch Me (Radio Edit) [feat. Cassandra],213133,2001,54,-8.399,0.0638,0.124,0.227,129.078,Dance/Electronic
Alien Ant Farm,Smooth Criminal,209266,2001,75,-4.261,0.0582,0.00316,0.00512,126.928,rock; metal
Erick Sermon,Music (feat. Marvin Gaye),223133,2001,57,-9.053,0.203,0.187,0.00000135,100.01,hip hop; pop
D12,Purple Pills,304506,2001,68,-5.941,0.16,0.0199,0.0000298,125.25,hip hop; pop; rock
Usher,Pop Ya Collar - Radio Edit,210813,2016,26,-3.944,0.0946,0.0901,0.0000212,106.957,hip hop; pop; R&B
Madonna,Don't Tell Me,280973,2000,53,-7.338,0.0594,0.0502,0.000925,99.965,pop
Blue,If You Come Back,207560,2001,58,-4.487,0.0319,0.0822,0,78.375,pop
Atomic Kitten,Eternal Flame - Single Version,195506,2001,58,-6.867,0.0318,0.0658,0.0042,83.293,pop
Jagged Edge,Where the Party At (feat. Nelly),232573,2001,67,-6.239,0.226,0.31,0,129.491,hip hop; pop; R&B
Afroman,Because I Got High,197760,2001,68,-8.56,0.488,0.169,0,166.01,hip hop
S Club 7,Don't Stop Movin',233626,2001,63,-6.133,0.0329,0.0285,0,117.033,pop
Craig David,Fill Me In,257200,2000,60,-6.981,0.0365,0.376,0.00951,132.493,hip hop; pop; R&B
Nelly Furtado,Turn Off The Light,276106,2000,1,-6.26,0.0927,0.0839,0.000316,180.184,hip hop; pop; latin
The Supermen Lovers,Starlight - Radio Edit,234400,2001,61,-5.079,0.0373,0.000424,0.0187,127.487,Dance/Electronic
Mis-Teeq,All I Want - Sunship Radio Edit,207400,2004,46,-3.07,0.0835,0.37,0.00863,134.079,pop; Dance/Electronic
Jagged Edge,Promise,246720,2000,56,-5.431,0.0872,0.136,0,128.002,hip hop; pop; R&B
S Club 7,Have You Ever,201533,2001,60,-5.734,0.0325,0.538,0,139.909,pop
Enya,Only Time,218546,2000,69,-13.744,0.0301,0.841,0.661,82.803,World/Traditional; Folk/Acoustic
Faith Hill,There You'll Be,222120,2001,60,-7.77,0.0306,0.513,0,128.98,pop; country
Ronan Keating,Lovin' Each Day,212973,2000,58,-6.261,0.0633,0.0178,0.00000295,106.676,pop; rock
Destiny's Child,Bootylicious,207906,2001,64,-4.386,0.275,0.00281,0.00000111,103.376,pop; R&B
Steps,It's the Way You Make Me Feel,197360,2000,53,-5.081,0.0239,0.108,0.00000209,105.006,pop; Dance/Electronic
Sunshine Anderson,Heard It All Before,295826,2001,56,-4.209,0.216,0.0614,0,96.951,pop; R&B
Lenny Kravitz,Again,231666,2000,68,-5.218,0.0271,0.0148,0.0000433,79.166,rock; pop
Daniel Bedingfield,Gotta Get Thru This - D'N'D Radio Edit,162333,2002,46,-5.044,0.0598,0.0826,0.0000548,133.592,pop
DB Boulevard,Point Of View - Radio Edit,231166,2018,0,-6.854,0.0287,0.00284,0.0746,129.006,Dance/Electronic
Janet Jackson,All For You,329933,2001,65,-3.011,0.0736,0.0174,0.065,113.525,pop; R&B
Atomic Kitten,Whole Again,185013,2001,66,-4.653,0.0413,0.0844,0.00355,94.019,pop
Ja Rule,Livin' It Up,257066,2001,64,-4.086,0.311,0.0554,0,106.095,hip hop; pop; R&B
Destiny's Child,Independent Women; Pt. 1,221133,2001,65,-3.782,0.206,0.362,0.00000369,97.954,pop; R&B
DJ Pied Piper & The Masters Of Ceremonies,Do You Really Like It? - Radio Edit,217120,2001,54,-5.424,0.0493,0.124,0,131.044,Dance/Electronic
Jennifer Lopez,I'm Real (feat. Ja Rule) - Murder Remix,262133,2001,66,-7.93,0.151,0.273,0,83.46,hip hop; pop; R&B
Musiq Soulchild,Love,304666,2000,0,-9.919,0.0499,0.342,0,99.738,pop; R&B
So Solid Crew,21 Seconds,302826,2001,51,-11.072,0.241,0.0191,0,137.03,Dance/Electronic
Robbie Williams,Eternity,302760,2001,48,-8.106,0.0265,0.504,0.00000604,77.967,pop; rock
Basement Jaxx,Romeo,217493,2001,0,-4.171,0.0491,0.00769,0.00203,126.853,pop; Dance/Electronic
Ludacris,Southern Hospitality (Featuring Pharrell),300933,2000,54,-4.719,0.247,0.035,0,95.158,hip hop; pop
Gabrielle,Rise,219093,2001,60,-9.487,0.026,0.315,0.00000883,144.673,pop; R&B
Nelly,Ride Wit Me,291781,2000,75,-6.49,0.0478,0.0616,0.0000018,101.875,hip hop; pop; R&B
Trick Daddy,I'm a Thug,254400,2001,59,-5.961,0.122,0.0275,0,139.976,hip hop; pop
Travis,Sing,228800,2001,68,-5.047,0.0497,0.000233,0.00000814,163.142,rock; pop
JAY-Z,Izzo (H.O.V.A.),240626,2001,63,-4.051,0.342,0.0178,0.000126,84.411,hip hop
Gabrielle,Out Of Reach,196986,2001,69,-6.567,0.0452,0.503,0,182.862,pop; R&B
OPM,Heaven Is a Halfpipe (If I Die),257426,2000,56,-6.886,0.0349,0.0755,0.00283,95.9,rock
K-Ci & JoJo,Crazy,262773,2019,30,-4.507,0.0258,0.084,0,116.097,pop; R&B
Staind,It's Been Awhile,264706,2001,64,-4.054,0.0338,0.00189,0.000549,116.529,rock; metal
3LW,No More (Baby I'ma Do Right),263440,2000,56,-7.08,0.0631,0.102,0.0000044,88.933,pop; R&B
Ginuwine,Differences,265533,2001,65,-4.578,0.0558,0.318,0,62.876,hip hop; pop; R&B
*NSYNC,Gone,292000,2001,45,-8.564,0.0614,0.421,0,113.922,pop
Lifehouse,Hanging By A Moment,216360,2000,61,-4.903,0.0349,0.000966,0,124.599,pop; rock; metal
Nelly,Dilemma,289160,2002,77,-8.074,0.14,0.227,0.000164,168.189,hip hop; pop; R&B
Eminem,Without Me,290320,2002,87,-2.827,0.0738,0.00286,0,112.238,hip hop
Avril Lavigne,Complicated,244506,2002,78,-5.898,0.0459,0.0572,0.00000774,77.987,pop
Vanessa Carlton,A Thousand Miles,237493,2002,75,-3.862,0.0379,0.323,0,94.931,Folk/Acoustic; pop
The Calling,Wherever You Will Go,208600,2001,72,-5.113,0.0267,0.0367,0,112.027,pop
Shakira,Underneath Your Clothes,224066,2001,64,-5.328,0.0415,0.691,0,165.508,pop; latin
No Doubt,Underneath It All,302720,2001,27,-4.822,0.0684,0.232,0.00000157,138.202,rock; pop
Truth Hurts,Addictive,226440,2002,58,-6.591,0.147,0.0737,0.000162,99.271,pop; R&B
Busta Rhymes,I Know What You Want (feat. Flipmode Squad),324306,2002,68,-4.315,0.306,0.0142,0,85.996,hip hop; pop
Eminem,'Till I Collapse,297786,2002,85,-3.237,0.186,0.0622,0,171.447,hip hop
Diddy,I Need a Girl (Pt. 2) [feat. Loon; Ginuwine & Mario Winans],285586,2004,69,-7.392,0.483,0.421,0,199.764,hip hop; pop
Christina Milian,When You Look At Me - Radio Edit,222546,2001,60,-3.399,0.127,0.0934,0.000175,108.955,hip hop; pop; R&B
Madonna,Die Another Day,276360,2003,53,-5.166,0.0901,0.062,0.00325,123.993,pop
Jennifer Lopez,I'm Gonna Be Alright (feat. Nas),172240,2002,53,-4.382,0.265,0.106,0,93.401,hip hop; pop; R&B
Angie Martinez,If I Could Go! (feat. Lil' Mo & Sacario),244466,2019,40,-7.486,0.355,0.171,0,195.685,pop
Linkin Park,In the End,216880,2000,83,-5.87,0.0584,0.00958,0,105.143,rock; metal
Las Ketchup,The Ketchup Song (Aserejé) - Spanglish Version,213973,2002,66,-6.777,0.0948,0.0193,0.0000011,184.819,set()
Aaliyah,Rock The Boat,275026,2019,0,-5.209,0.0336,0.0688,0.00286,92.988,hip hop; pop; R&B
Holly Valance,Kiss Kiss,204400,2002,54,-4.944,0.125,0.00369,0.461,97.036,pop; Dance/Electronic
Sugababes,Round Round,236426,2002,59,-3.802,0.0338,0.00287,0.00000623,126.607,pop; R&B
Marilyn Manson,Tainted Love,200426,2003,60,-7.779,0.0728,0.00107,0.00000183,142.017,rock; metal
Brandy,What About Us?,253200,2002,43,-2.942,0.223,0.263,0,93.118,hip hop; pop; R&B
Chad Kroeger,Hero (feat. Josey Scott),200480,2003,66,-4.54,0.0364,0.00216,0,147.387,metal
Britney Spears,Overprotected - Radio Edit,198600,2001,61,-1.73,0.0727,0.0381,0,95.992,pop
Scooter,The Logical Song,234116,2013,46,-6.277,0.0382,0.00112,0.0362,144.043,pop; Dance/Electronic
Missy Elliott,4 My People (feat. Eve),289373,2001,49,-7.503,0.156,0.14,0.00161,121.392,hip hop; pop; R&B
Aaliyah,More Than A Woman,230346,2002,42,-5.803,0.0787,0.0556,0.0014,86.994,hip hop; pop; R&B
Brandy,Full Moon,248933,2002,52,-4.823,0.139,0.372,0.00432,105.922,hip hop; pop; R&B
Blue,One Love,207186,2002,60,-4.039,0.0358,0.0243,0.000042,95.012,pop
Busta Rhymes,Pass The Courvoisier Part II (feat. P. Diddy & Pharrell) - Remix,238600,2001,55,-4.699,0.323,0.0844,0,89.767,hip hop; pop
